iter	AverageGain:top=5
0	0.4225864606
1	0.4239128462
2	0.424784471
3	0.424784471
4	0.427683571
5	0.4276077775
6	0.4295215625
7	0.4295215625
8	0.4299005298
9	0.4303173938
10	0.4435812501
11	0.4435812501
12	0.443732837
13	0.4435812501
14	0.4435623018
15	0.4489436377
16	0.4490573279
17	0.4490952247
18	0.4490194312
19	0.4517479959
20	0.4518427377
21	0.451804841
22	0.4516722024
23	0.4518237894
24	0.4517290475
25	0.4519374795
26	0.4518616861
27	0.4518237894
28	0.4518806345
29	0.4518427377
30	0.4518427377
31	0.4519185312
32	0.4521459116
33	0.4518806344
34	0.4520322214
35	0.4522027567
36	0.4522785501
37	0.4529038462
38	0.4528091044
39	0.4530364848
40	0.4531122782
41	0.4529606913
42	0.4532259684
43	0.4532259684
44	0.4532828135
45	0.4532638652
46	0.4542302318
47	0.4543249737
48	0.4543628704
49	0.4540975933
50	0.4544765606
51	0.4545713024
52	0.4546849926
53	0.4547797344
54	0.4547418377
55	0.4547797344
56	0.4545713024
57	0.4545902508
58	0.4546281475
59	0.4544197155
60	0.4542870769
61	0.4542681286
62	0.454343922
63	0.4542112835
64	0.4541733867
65	0.4542491802
66	0.4542681286
67	0.454495509
68	0.4553860822
69	0.4557271528
70	0.4554429273
71	0.4555376691
72	0.4555755658
73	0.4556513593
74	0.4555755658
75	0.4555566175
76	0.4555566175
77	0.4554050305
78	0.4554239789
79	0.4561440168
80	0.4563713972
81	0.4564092939
82	0.4563903456
83	0.4563713972
84	0.4565040358
85	0.4566935194
86	0.4569208998
87	0.4569398482
88	0.4567503645
89	0.4569019515
90	0.4571103835
91	0.4567693129
92	0.4568072096
93	0.4567314162
94	0.4567314162
95	0.4566366743
96	0.4566935194
97	0.4567124678
98	0.4567882613
99	0.4567882613
100	0.4566745711
101	0.4567124678
102	0.456617726
103	0.4567693129
104	0.4566745711
105	0.4567124678
106	0.4570914351
107	0.4570914351
108	0.4570724867
109	0.4572619704
110	0.4573567122
111	0.4574135573
112	0.4573377639
113	0.4573567122
114	0.4572240737
115	0.4573188155
116	0.4573756606
117	0.4575461959
118	0.4578872665
119	0.4577735763
120	0.4578493697
121	0.4577925246
122	0.4576788345
123	0.4582283371
124	0.4583041305
125	0.4581904403
126	0.4583230789
127	0.4584557175
128	0.4584936142
129	0.4585315109
130	0.4583988724
131	0.4583988724
132	0.4584557175
