iter	Passed	Remaining
0	202	1010091
1	400	1002026
2	607	1012295
3	813	1016634
4	1039	1038700
5	1247	1038019
6	1453	1036958
7	1690	1054699
8	1893	1050292
9	2103	1049586
10	2340	1061400
11	2541	1056394
12	2767	1061732
13	2966	1056589
14	3193	1061202
15	3400	1059184
16	3616	1060091
17	3843	1063928
18	4044	1060182
19	4253	1059050
20	4456	1056587
21	4673	1057578
22	4883	1056805
23	5091	1055622
24	5303	1055311
25	5514	1054952
26	5723	1054106
27	5933	1053706
28	6159	1055765
29	6378	1056774
30	6584	1055360
31	6885	1068980
32	7141	1074846
33	7378	1077654
34	7614	1080216
35	7855	1083164
36	8088	1084905
37	8316	1085987
38	8551	1087748
39	8799	1091117
40	9038	1093207
41	9286	1096244
42	9518	1097306
43	9757	1099043
44	9988	1099889
45	10220	1100712
46	10449	1101158
47	10684	1102252
48	10921	1103563
49	11151	1104038
50	11386	1104928
51	11615	1105222
52	11851	1106207
53	12100	1108271
54	12333	1108908
55	12563	1109192
56	12801	1110149
57	13048	1111802
58	13290	1112991
59	13516	1112884
60	13749	1113225
61	13978	1113339
62	14208	1113455
63	14438	1113596
64	14684	1114878
65	14920	1115399
66	15160	1116196
67	15390	1116241
68	15620	1116320
69	15860	1117033
70	16092	1117152
71	16328	1117587
72	16573	1118618
73	16830	1120344
74	17077	1121439
75	17317	1121979
76	17560	1122726
77	17794	1122898
78	18084	1126505
79	18384	1130632
80	18633	1131580
81	18870	1131745
82	19110	1132142
83	19351	1132534
84	19593	1132966
85	19830	1133127
86	20060	1132832
87	20346	1135704
88	20573	1135252
89	20857	1137900
90	21113	1138989
91	21355	1139283
92	21587	1139033
93	21817	1138685
94	22047	1138351
95	22280	1138156
96	22506	1137601
97	22748	1137905
98	22976	1137450
99	23209	1137261
100	23440	1136987
101	23668	1136538
102	23902	1136424
103	24144	1136647
104	24373	1136289
105	24604	1135973
106	24851	1136437
107	25078	1135949
108	25308	1135645
109	25537	1135245
110	25777	1135355
111	26003	1134878
112	26237	1134712
113	26471	1134548
114	26698	1134113
115	26930	1133850
116	27166	1133815
117	27391	1133277
118	27619	1132852
119	27850	1132607
120	28076	1132119
121	28302	1131645
122	28525	1131064
123	28754	1130684
124	28979	1130182
125	29204	1129707
126	29431	1129304
127	29656	1128792
128	29887	1128558
129	30130	1128740
130	30356	1128285
131	30583	1127866
132	30820	1127842
133	31045	1127372
134	31270	1126913
135	31496	1126471
136	31732	1126386
137	31959	1125987
138	32185	1125565
139	32410	1125106
140	32634	1124606
141	32863	1124286
142	33107	1124498
143	33333	1124080
144	33559	1123664
145	33795	1123575
146	34020	1123133
147	34248	1122802
148	34480	1122583
149	34713	1122397
150	34940	1122045
151	35164	1121556
152	35394	1121296
153	35622	1120943
154	35852	1120687
155	36093	1120754
156	36321	1120422
157	36546	1119998
158	36777	1119759
159	37008	1119509
160	37234	1119112
161	37459	1118694
162	37688	1118398
163	37914	1118014
164	38144	1117735
165	38371	1117400
166	38598	1117035
167	38825	1116689
168	39070	1116861
169	39295	1116461
170	39524	1116152
171	39756	1115957
172	39986	1115705
173	40214	1115384
174	40442	1115056
175	40675	1114891
176	40900	1114492
177	41130	1114211
178	41359	1113944
179	41600	1113962
180	41790	1112651
181	41979	1111307
182	42161	1109790
183	42345	1108338
184	42520	1106681
185	42713	1105503
186	42891	1103939
187	43073	1102489
188	43248	1100881
189	43430	1099473
190	43614	1098117
191	43799	1096810
192	43973	1095239
193	44155	1093866
194	44332	1092400
195	44514	1091068
196	44698	1089776
197	44878	1088426
198	45063	1087197
199	45252	1086057
200	45429	1084655
201	45618	1083541
202	45798	1082249
203	45979	1080961
204	46157	1079625
205	46338	1078377
206	46513	1077011
207	46702	1075950
208	46877	1074595
209	47058	1073382
210	47238	1072149
211	47418	1070943
212	47595	1069665
213	47781	1068614
214	47957	1067332
215	48155	1066547
216	48333	1065331
217	48514	1064209
218	48694	1063058
219	48874	1061908
220	49053	1060757
221	49235	1059672
222	49412	1058496
223	49598	1057507
224	49777	1056379
225	49958	1055316
226	50133	1054126
227	50315	1053089
228	50492	1051964
229	50678	1051031
230	50851	1049823
231	51040	1048967
232	51217	1047863
233	51393	1046753
234	51569	1045652
235	51751	1044677
236	51927	1043583
237	52107	1042591
238	52283	1041512
239	52463	1040520
240	52644	1039560
241	52827	1038645
242	53002	1037583
243	53183	1036648
244	53359	1035600
245	53538	1034651
246	53715	1033648
247	53895	1032710
248	54078	1031843
249	54259	1030926
250	54434	1029917
251	54624	1029197
252	54811	1028413
253	54995	1027585
254	55174	1026673
255	55352	1025753
256	55528	1024796
257	55714	1024017
258	55890	1023079
259	56069	1022188
260	56245	1021248
261	56426	1020420
262	56602	1019492
263	56789	1018760
264	56966	1017875
265	57150	1017113
266	57328	1016239
267	57509	1015426
268	57692	1014652
269	57874	1013874
270	58059	1013155
271	58248	1012496
272	58424	1011616
273	58604	1010826
274	58815	1010551
275	58992	1009704
276	59174	1008960
277	59350	1008108
278	59531	1007340
279	59710	1006549
280	59889	1005754
281	60093	1005401
282	60312	1005282
283	60495	1004560
284	60683	1003945
285	60859	1003112
286	61039	1002368
287	61216	1001574
288	61398	1000858
289	61574	1000056
290	61757	999374
291	61934	998584
292	62117	997902
293	62317	997503
294	62502	996856
295	62679	996101
296	62861	995417
