iter	AverageGain:top=5
0	0.3603031822
1	0.3612506005
2	0.3612316521
3	0.3705163515
4	0.370592145
5	0.3705542483
6	0.3742870764
7	0.3743818182
8	0.3754808235
9	0.3755376686
10	0.37540503
11	0.3755755653
12	0.3754429267
13	0.3755187202
14	0.3755187202
15	0.3754618751
16	0.3754997718
17	0.3754997718
18	0.3755187202
19	0.3899384268
20	0.3899384268
21	0.3899384268
22	0.3900710654
23	0.3900710654
24	0.3900710654
25	0.390052117
26	0.3899952719
27	0.3949976406
28	0.3947323634
29	0.3947323634
30	0.3947892085
31	0.3948081569
32	0.3948839503
33	0.3948081569
34	0.4055897772
35	0.4055329321
36	0.4055897772
37	0.4055897772
38	0.4055708288
39	0.4056087256
40	0.4077688393
41	0.4077498909
42	0.4076930458
43	0.4076930458
44	0.4077877877
45	0.4078635811
46	0.4077877877
47	0.4086025674
48	0.4300142209
49	0.4301089627
50	0.4310374327
51	0.4309805876
52	0.4309237425
53	0.4309995359
54	0.431056381
55	0.4310374327
56	0.4311132261
57	0.4311700712
58	0.4311700712
59	0.4312458647
60	0.4313785033
61	0.4312648131
62	0.4341828614
63	0.4342397065
64	0.4343344483
65	0.4344670868
66	0.4479204266
67	0.4478635815
68	0.4478067364
69	0.4479583233
70	0.4479962201
71	0.4558787403
72	0.4560303273
73	0.4559355854
74	0.4561061207
75	0.4560871724
76	0.456068224
77	0.4561440175
78	0.4562577077
79	0.4586262534
80	0.4586452017
81	0.4586641501
82	0.4587209952
83	0.4586641501
84	0.4587588919
85	0.4587778403
86	0.4587209952
87	0.4590052207
88	0.4596115684
89	0.4596684135
90	0.4597063102
91	0.4596873619
92	0.4621695978
93	0.4622453913
94	0.4622453913
95	0.4621885462
96	0.4621317011
97	0.4621506494
98	0.4623401331
99	0.4623780298
100	0.462283288
101	0.4623590815
102	0.4641402279
103	0.4642539181
104	0.4639696926
105	0.4639507442
106	0.463988641
107	0.4640454861
108	0.4642349697
109	0.4641591763
110	0.4643107632
111	0.4645191952
112	0.4650686978
113	0.4648981625
114	0.4681004364
115	0.4680056946
116	0.4681762299
117	0.4695784089
118	0.4697489442
119	0.4697489442
120	0.4697299959
121	0.4696920991
122	0.4695405122
123	0.469635254
124	0.4695405122
125	0.469786841
126	0.4722122318
127	0.4725533024
128	0.4725722508
129	0.4726480443
130	0.4724396122
131	0.4724964573
132	0.4724964573
133	0.4727048894
134	0.472685941
135	0.472685941
136	0.4760776984
137	0.4761345435
138	0.4761724402
139	0.4761534919
140	0.4759829566
141	0.4759829566
142	0.4759450598
143	0.4758882148
144	0.4759450598
145	0.4761724402
146	0.4759261115
147	0.4759261115
148	0.4760208533
149	0.4761534919
150	0.4761345435
151	0.47605875
152	0.4758692664
153	0.4759450598
154	0.4762482337
155	0.4763429755
156	0.4764756141
157	0.4764756141
158	0.4766082526
159	0.4765703559
160	0.4766650977
161	0.4764566657
162	0.4766082527
163	0.4766840461
164	0.4767219429
165	0.4781620187
166	0.4781430703
167	0.4781620187
168	0.4782946572
169	0.4782567605
170	0.478332554
171	0.4783515023
172	0.4782946572
173	0.4781430703
174	0.4786736246
175	0.4795831461
176	0.4807768932
177	0.480871635
178	0.4808337383
179	0.480871635
180	0.4810611187
181	0.4807010997
182	0.4807200481
183	0.4807389964
184	0.4807010997
185	0.480663203
186	0.4806821513
187	0.4807200481
188	0.480871635
189	0.4807768932
190	0.4808147899
191	0.4807389964
192	0.4809284801
193	0.4809474285
194	0.4809284801
195	0.4807768932
196	0.4807200481
197	0.4807958415
198	0.4809095317
199	0.4808147899
200	0.4807958415
201	0.4815158794
202	0.4815158794
203	0.4813642925
204	0.4811748088
205	0.4810990154
206	0.4810611186
207	0.4812316539
208	0.4813074474
209	0.4812695507
210	0.4813642925
211	0.4813642925
212	0.4842065474
213	0.4842633925
214	0.4843012892
215	0.4842065474
216	0.4843012892
217	0.4843202376
218	0.4842065474
219	0.4843960311
220	0.4842823409
221	0.4861392807
222	0.4860255905
223	0.4860255905
224	0.4860255905
225	0.4861203324
226	0.4860824356
227	0.4862340226
228	0.4861961258
229	0.4861582291
230	0.4861582291
231	0.4861771775
232	0.4861771775
233	0.4861203324
234	0.4861582291
235	0.4861582291
236	0.4861771775
237	0.4862908676
238	0.4862908676
239	0.4861582291
240	0.4861771775
241	0.486101384
242	0.4865561448
243	0.4865940415
244	0.4891899676
245	0.4892847094
246	0.4893226062
247	0.4892847094
248	0.489208916
249	0.4891710193
250	0.4893036578
251	0.4891899676
252	0.4892847095
253	0.4892657611
254	0.4892657611
255	0.4891899676
256	0.4891331225
257	0.4898342121
258	0.4897015735
259	0.4903458179
260	0.4903458179
261	0.4903079212
262	0.4905731983
263	0.4904974049
264	0.4903647663
265	0.4904026631
266	0.4904216114
267	0.49055425
268	0.4906300434
269	0.4907247853
270	0.4906679402
271	0.4906679402
272	0.4907058369
273	0.4907437336
274	0.4907437336
275	0.4907058369
276	0.4906868885
277	0.4906868885
278	0.4911037525
279	0.4910279591
280	0.4909900623
281	0.4911227009
282	0.4911605976
283	0.4912174427
284	0.4911605976
285	0.4912553395
286	0.4921838094
287	0.4922785512
288	0.4920322225
289	0.4922406545
290	0.4922217061
291	0.4921838094
292	0.492164861
293	0.4921838094
294	0.4921269643
295	0.4922974996
296	0.4923922414
297	0.4923543447
298	0.492316448
299	0.4924490865
300	0.4930175375
301	0.4932449179
302	0.4931691244
303	0.4931880728
304	0.4931880728
305	0.4934912466
306	0.4939649558
307	0.493870214
308	0.4939460074
309	0.4938891623
310	0.4939649558
311	0.4939460074
312	0.4940975943
313	0.4941165427
314	0.4942112845
315	0.4943249747
316	0.4942681296
317	0.4942302329
318	0.4943628715
319	0.4943818198
320	0.4944576133
321	0.494078646
322	0.4941165427
323	0.4941544394
324	0.4942112845
325	0.4941354911
326	0.4942112845
327	0.4942302329
328	0.4941544395
329	0.4942302329
330	0.4943060264
331	0.4943818198
332	0.4944007682
333	0.4943249747
334	0.4944386649
335	0.4944765617
336	0.4944386649
337	0.4944007682
338	0.4946092002
339	0.494647097
340	0.494647097
341	0.4946660453
342	0.4946849937
343	0.4948934257
344	0.4948365806
345	0.4949123741
346	0.4949313224
347	0.4951018577
348	0.4950071159
349	0.4949692192
350	0.4949881675
351	0.4949502708
352	0.4947039421
353	0.4947797355
354	0.4948176323
355	0.4949123741
356	0.4949502708
357	0.4951018577
358	0.4952155479
359	0.4949313225
360	0.4949881675
361	0.4950071159
362	0.4948744774
363	0.4950071159
364	0.4950450126
365	0.4950829094
366	0.4952344963
367	0.4953481865
368	0.4950450126
369	0.4951965996
370	0.4950260643
371	0.495272393
372	0.4953292381
373	0.4954808251
374	0.4953481865
375	0.49542398
376	0.4954050316
377	0.4955755669
378	0.4954997734
379	0.4953671348
380	0.4954050316
381	0.4954618767
382	0.4954618767
383	0.4955566185
384	0.4957082054
385	0.4956703087
386	0.4956513603
387	0.4956703087
388	0.4957650505
389	0.4956134636
390	0.4956134636
391	0.495632412
392	0.4955187218
393	0.4955945152
394	0.4958597924
395	0.4958976891
396	0.4960303277
397	0.4959734826
398	0.4959924309
399	0.4959355858
400	0.4960682244
401	0.4959924309
402	0.4960303277
403	0.4960682244
404	0.4961250695
405	0.496200863
406	0.4963713982
407	0.4963145531
408	0.4963713982
409	0.496409295
410	0.4963335015
411	0.4963713982
412	0.496617727
413	0.4967882623
414	0.4968640558
415	0.4969398492
416	0.496977746
417	0.4971293329
418	0.4970345911
419	0.4970914362
420	0.4970914362
421	0.4972051264
422	0.4969019525
423	0.4970345911
424	0.4971293329
425	0.4972051264
426	0.497186178
427	0.4972051263
428	0.4972998682
429	0.4973567133
430	0.4976409388
431	0.4975840937
432	0.4974704035
433	0.4975083002
434	0.4975083002
435	0.4974893519
436	0.4975840937
437	0.4976598872
438	0.4976977839
439	0.4977735773
440	0.4976788355
441	0.4977356806
442	0.4978683192
443	0.4979820094
444	0.4980388545
445	0.4982283381
446	0.4980009577
447	0.4980956996
448	0.4980956996
449	0.4982283381
450	0.49832308
451	0.4982283381
452	0.4982283381
453	0.4982472865
454	0.4982851832
455	0.49832308
456	0.4984178218
457	0.498531512
458	0.4984936153
459	0.498531512
460	0.4983041316
461	0.4984746669
462	0.4983609767
463	0.4982283381
464	0.4983420283
465	0.4984367702
466	0.4983041316
467	0.4983988734
468	0.4983609767
469	0.4981146479
