iter	Passed	Remaining
0	708	3541223
1	1494	3735798
2	2241	3733622
3	2935	3666833
4	3622	3618425
5	4309	3586790
6	5000	3566587
7	5690	3550667
8	6384	3540494
9	7077	3531564
10	7765	3522212
11	8464	3518602
12	9152	3511226
13	9844	3506012
14	10537	3502091
15	11246	3503170
16	11937	3499017
17	12631	3496242
18	13323	3492834
19	14026	3492481
20	14721	3490378
21	15415	3488192
22	16105	3485068
23	16800	3483305
24	17508	3484228
25	18206	3483033
26	18899	3480988
27	19597	3480039
28	20305	3480571
29	21017	3481908
30	21715	3480722
31	22415	3480069
32	23122	3480288
33	23819	3479049
34	24518	3478186
35	25217	3477232
36	25920	3476904
37	26633	3477835
38	27330	3476521
39	28028	3475473
40	28732	3475249
41	29439	3475304
42	30135	3474029
43	30836	3473292
44	31532	3472032
45	32246	3472857
46	32953	3472743
47	33653	3471897
48	34351	3470890
49	35062	3471170
50	35760	3470140
51	36463	3469604
52	37159	3468412
53	37869	3468589
54	38573	3468092
55	39271	3467151
56	39966	3465859
57	40661	3464672
58	41370	3464643
59	42067	3463539
60	42762	3462393
61	43461	3461530
62	44172	3461542
63	44868	3460517
64	45565	3459442
65	46262	3458475
66	46966	3457991
67	47667	3457287
68	48365	3456382
69	49065	3455632
70	49763	3454722
71	50469	3454372
72	51168	3453528
73	51870	3452908
74	52570	3452156
75	53277	3451825
76	53975	3450944
77	54674	3450099
78	55396	3450723
79	56137	3452463
80	56841	3451874
81	57542	3451124
82	58242	3450360
83	58942	3449544
84	59647	3449050
85	60347	3448203
86	61047	3447422
87	61752	3446897
88	62464	3446755
89	63167	3446112
90	63865	3445215
91	64567	3444549
92	65279	3444361
93	65982	3443740
94	66682	3442902
95	67379	3441990
96	68096	3442018
97	68795	3441193
98	69495	3440398
99	70194	3439518
100	70894	3438719
101	71612	3438789
102	72309	3437862
103	73016	3437372
104	73716	3436607
105	74424	3436142
106	75124	3435346
107	75823	3434533
108	76521	3433633
109	77234	3433430
110	77934	3432634
111	78634	3431852
112	79334	3431057
113	80040	3430506
114	80736	3429543
115	81434	3428691
116	82131	3427767
117	82833	3427058
118	83542	3426657
119	84243	3425895
120	84938	3424928
121	85635	3423997
122	86338	3423358
123	87038	3422563
124	87738	3421800
125	88440	3421089
126	89146	3420549
127	89842	3419629
128	90541	3418823
129	91236	3417858
130	91944	3417399
131	92659	3417158
132	93356	3416285
133	94051	3415317
134	94748	3414455
135	95454	3413899
136	96153	3413089
137	96850	3412211
138	97624	3414055
139	98330	3413465
140	99025	3412521
141	99746	3412454
142	100445	3411620
143	101152	3411090
144	101846	3410113
145	102541	3409166
146	103239	3408307
147	103944	3407697
148	104643	3406875
149	105342	3406059
150	106039	3405209
151	106742	3404538
152	107451	3404044
153	108151	3403275
154	108849	3402410
155	109546	3401559
156	110254	3401042
157	110956	3400320
158	111656	3399553
159	112355	3398752
160	113064	3398252
161	113759	3397350
162	114457	3396515
163	115158	3395783
164	115904	3396355
165	116614	3395884
166	117313	3395070
167	118012	3394256
168	118711	3393453
169	119413	3392749
170	120111	3391908
171	120809	3391105
172	121515	3390491
173	122224	3389973
174	122920	3389085
175	123622	3388390
